epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
124,9338.44,0.99912,2.14873,1.12821,1.02336,0.6057,0.37282,0.40782,0.30694,0.57451,0.35263,0.38079,0.25334,0.99873,2.28147,1.17717,1.03168,0.005941,0.005941,0.005941
125,9413.33,1.00216,2.15434,1.12734,1.02033,0.62267,0.37071,0.41276,0.30998,0.60273,0.34878,0.38332,0.25669,0.99804,2.26533,1.1726,1.02921,0.005908,0.005908,0.005908
126,9488.27,1.00637,2.15525,1.12435,1.02404,0.65961,0.37601,0.4167,0.31816,0.6324,0.3553,0.39014,0.2633,0.99004,2.27074,1.16567,1.027,0.005875,0.005875,0.005875
127,9563.29,0.99631,2.14623,1.11647,1.02242,0.65647,0.36369,0.41482,0.31436,0.62615,0.34521,0.38651,0.25917,0.99183,2.27451,1.17216,1.02925,0.005842,0.005842,0.005842
128,9637.76,0.99872,2.14337,1.11542,1.02032,0.64757,0.36635,0.41428,0.31576,0.64752,0.33883,0.38912,0.26219,0.99092,2.26631,1.16786,1.02766,0.005809,0.005809,0.005809
129,9713.15,1.00278,2.15907,1.12337,1.0221,0.63859,0.37573,0.41554,0.31579,0.60626,0.35508,0.38827,0.26227,0.99281,2.26283,1.16516,1.02811,0.005776,0.005776,0.005776
130,9788.01,0.99609,2.13483,1.10843,1.0169,0.63286,0.36304,0.40996,0.31212,0.63393,0.33667,0.38336,0.25988,0.99378,2.27871,1.17368,1.03179,0.005743,0.005743,0.005743
131,9862.49,0.99685,2.14514,1.11004,1.02183,0.62253,0.36472,0.40362,0.30751,0.59883,0.34622,0.37576,0.25404,0.99658,2.26219,1.17494,1.03441,0.00571,0.00571,0.00571
132,9937.25,1.00015,2.14964,1.10779,1.02121,0.61929,0.36926,0.40754,0.31003,0.61552,0.34015,0.38041,0.2574,0.99451,2.26388,1.17201,1.0309,0.005677,0.005677,0.005677
133,10011.3,0.99867,2.14771,1.1113,1.01962,0.66718,0.35879,0.41399,0.31385,0.65652,0.33716,0.38572,0.25894,0.99168,2.27105,1.16415,1.02869,0.005644,0.005644,0.005644
134,10085.6,0.99358,2.13785,1.1097,1.0199,0.64734,0.35975,0.41058,0.31188,0.62186,0.34376,0.38491,0.25718,0.99292,2.27348,1.1598,1.03133,0.005611,0.005611,0.005611
135,10161,1.00511,2.1578,1.10541,1.02044,0.63797,0.3641,0.40825,0.30913,0.61657,0.34979,0.38594,0.25619,0.9935,2.26552,1.1608,1.03034,0.005578,0.005578,0.005578
136,10235.6,0.99963,2.15596,1.09863,1.01863,0.62594,0.38092,0.41843,0.31651,0.65248,0.34686,0.39298,0.26511,0.99669,2.26844,1.15723,1.0307,0.005545,0.005545,0.005545
137,10310.5,0.99066,2.12819,1.09496,1.01664,0.62245,0.38001,0.41827,0.31729,0.58766,0.36693,0.39203,0.26259,0.99151,2.2666,1.15554,1.02844,0.005512,0.005512,0.005512
138,10384.9,0.99987,2.14596,1.10015,1.0188,0.66824,0.355,0.4126,0.31373,0.65059,0.33455,0.38412,0.2593,0.99233,2.26237,1.16306,1.02659,0.005479,0.005479,0.005479
139,10458.7,0.99256,2.12999,1.09295,1.0185,0.68999,0.35158,0.41393,0.31426,0.66294,0.33429,0.38414,0.26045,0.98523,2.26019,1.16698,1.02308,0.005446,0.005446,0.005446
140,10533.5,0.98558,2.12416,1.09134,1.01664,0.65858,0.3549,0.41521,0.31511,0.65844,0.33126,0.38832,0.26281,0.9815,2.25254,1.15803,1.02421,0.005413,0.005413,0.005413
141,10607.9,0.98466,2.1217,1.09154,1.01647,0.63019,0.37614,0.41742,0.31743,0.59732,0.35663,0.39074,0.26327,0.98497,2.24365,1.15844,1.02247,0.00538,0.00538,0.00538
142,10683.1,0.99202,2.13375,1.08886,1.01576,0.67175,0.3599,0.41611,0.31843,0.64616,0.34106,0.39093,0.26362,0.97877,2.24783,1.15487,1.0223,0.005347,0.005347,0.005347
143,10757.7,0.98814,2.12744,1.08069,1.01299,0.65337,0.36416,0.41278,0.31412,0.64732,0.34137,0.38731,0.26153,0.98261,2.25046,1.1479,1.02776,0.005314,0.005314,0.005314
144,10832.4,0.98512,2.11965,1.08513,1.01256,0.63109,0.37214,0.41606,0.31734,0.63374,0.34226,0.38743,0.26177,0.98041,2.25145,1.15167,1.02394,0.005281,0.005281,0.005281
145,10907,0.9821,2.10823,1.07311,1.0131,0.66402,0.36607,0.41097,0.31418,0.64653,0.34317,0.38302,0.25826,0.98276,2.25717,1.15179,1.02695,0.005248,0.005248,0.005248
146,10982.5,0.99303,2.12943,1.07956,1.01575,0.67002,0.37102,0.41516,0.319,0.66196,0.34625,0.38629,0.26067,0.97877,2.24643,1.14495,1.02167,0.005215,0.005215,0.005215
147,11058.6,0.98659,2.12438,1.08339,1.01348,0.66492,0.3695,0.41322,0.31552,0.64705,0.34717,0.38689,0.25914,0.98433,2.24496,1.15177,1.02388,0.005182,0.005182,0.005182
148,11133.2,0.97142,2.09244,1.074,1.01108,0.63069,0.37728,0.41628,0.31417,0.67899,0.33963,0.38858,0.25944,0.98292,2.2495,1.15001,1.02386,0.005149,0.005149,0.005149
149,11207.3,0.98132,2.11328,1.07732,1.01211,0.6897,0.35725,0.41286,0.31504,0.6972,0.33321,0.38902,0.26022,0.98441,2.2472,1.1551,1.02351,0.005116,0.005116,0.005116
150,11282.7,0.98877,2.13346,1.07334,1.01279,0.65266,0.36814,0.41539,0.31814,0.64405,0.34684,0.39051,0.26198,0.98174,2.24731,1.14757,1.02282,0.005083,0.005083,0.005083
151,11356.8,0.97725,2.11063,1.0721,1.0113,0.68091,0.36429,0.41887,0.31905,0.67573,0.34369,0.39249,0.26574,0.97774,2.24996,1.14272,1.01989,0.00505,0.00505,0.00505
152,11431.2,0.97644,2.09663,1.06434,1.00987,0.67941,0.3671,0.42228,0.31861,0.68819,0.34026,0.39307,0.26315,0.98232,2.25101,1.14411,1.02132,0.005017,0.005017,0.005017
153,11505.9,0.97278,2.10614,1.06699,1.00978,0.66675,0.37112,0.41828,0.31853,0.64238,0.34999,0.39018,0.26407,0.97718,2.25164,1.14094,1.02032,0.004984,0.004984,0.004984
154,11580.2,0.97535,2.09836,1.06738,1.01047,0.64832,0.37404,0.42133,0.31779,0.64281,0.34412,0.38969,0.26294,0.97631,2.23781,1.13814,1.02078,0.004951,0.004951,0.004951
155,11654.8,0.97671,2.09842,1.0654,1.01189,0.65347,0.37414,0.41668,0.31655,0.62292,0.35225,0.3895,0.26177,0.98077,2.25015,1.14262,1.02341,0.004918,0.004918,0.004918
156,11729.9,0.97966,2.10447,1.06226,1.00843,0.6506,0.37834,0.41939,0.32063,0.6239,0.35904,0.39228,0.26504,0.97846,2.24537,1.1413,1.02138,0.004885,0.004885,0.004885
157,11803.9,0.97557,2.1,1.05832,1.00929,0.69891,0.36867,0.42362,0.32186,0.67131,0.35053,0.39533,0.26589,0.97806,2.24017,1.13451,1.02183,0.004852,0.004852,0.004852
158,11878.4,0.9719,2.09464,1.06337,1.00916,0.68065,0.37274,0.42202,0.32343,0.66322,0.35006,0.39555,0.26787,0.97486,2.23707,1.13618,1.02138,0.004819,0.004819,0.004819
159,11952.4,0.96967,2.08108,1.05686,1.00801,0.69442,0.3613,0.42374,0.32357,0.6797,0.3408,0.39653,0.26821,0.97851,2.23171,1.1359,1.02292,0.004786,0.004786,0.004786
160,12026.6,0.97383,2.0969,1.06254,1.00815,0.65219,0.3759,0.42168,0.32033,0.67164,0.34018,0.39211,0.26517,0.97752,2.23923,1.13966,1.02258,0.004753,0.004753,0.004753
161,12100.9,0.96321,2.06792,1.052,1.00623,0.68877,0.37043,0.42445,0.3233,0.65627,0.34887,0.3943,0.26781,0.97894,2.243,1.13371,1.02464,0.00472,0.00472,0.00472
162,12175.7,0.97227,2.09514,1.05258,1.00884,0.66393,0.37289,0.42024,0.32043,0.66919,0.34409,0.39225,0.26464,0.97741,2.24547,1.13367,1.02356,0.004687,0.004687,0.004687
163,12250.9,0.96535,2.0831,1.0565,1.01035,0.69936,0.36143,0.42501,0.32332,0.69536,0.33898,0.39645,0.26771,0.97629,2.24702,1.13053,1.02368,0.004654,0.004654,0.004654
164,12325.5,0.97303,2.09705,1.04339,1.00594,0.65041,0.37519,0.4223,0.32253,0.62254,0.35209,0.39216,0.26475,0.97488,2.24651,1.13245,1.02056,0.004621,0.004621,0.004621
165,12399.8,0.97343,2.08709,1.04605,1.00653,0.66145,0.38002,0.42311,0.32267,0.62479,0.3585,0.39289,0.26522,0.97517,2.24168,1.12998,1.02103,0.004588,0.004588,0.004588
166,12473.8,0.97271,2.09254,1.04636,1.00865,0.61534,0.38,0.41585,0.31606,0.61051,0.34872,0.38822,0.25955,0.97189,2.2405,1.13294,1.01851,0.004555,0.004555,0.004555
167,12548.3,0.96294,2.08124,1.03985,1.00426,0.6409,0.37574,0.41747,0.31523,0.60815,0.35541,0.38885,0.26089,0.97221,2.23731,1.13363,1.01928,0.004522,0.004522,0.004522
168,12622,0.96103,2.07814,1.05063,1.00736,0.66238,0.36857,0.41863,0.31766,0.63007,0.34851,0.39011,0.26362,0.97509,2.23834,1.13342,1.02217,0.004489,0.004489,0.004489
169,12696.3,0.96033,2.07035,1.03975,1.00395,0.63224,0.37883,0.41995,0.31802,0.60513,0.35551,0.39184,0.26467,0.97673,2.2312,1.13861,1.02137,0.004456,0.004456,0.004456
170,12771.1,0.96324,2.06871,1.03337,1.00473,0.6781,0.37278,0.42253,0.32004,0.65384,0.35179,0.39419,0.2668,0.9746,2.23024,1.13337,1.01941,0.004423,0.004423,0.004423
171,12846.7,0.95958,2.06627,1.0276,1.00158,0.67342,0.37177,0.42134,0.32048,0.65522,0.35371,0.39519,0.26745,0.97424,2.23032,1.13094,1.01908,0.00439,0.00439,0.00439
172,12921.9,0.97494,2.09888,1.03937,1.00796,0.67129,0.36882,0.41834,0.31928,0.65642,0.34634,0.3925,0.26571,0.97844,2.23246,1.13327,1.02032,0.004357,0.004357,0.004357
173,12995.8,0.95896,2.06293,1.03136,1.00351,0.68151,0.36504,0.41661,0.31967,0.66539,0.34542,0.39108,0.26521,0.97388,2.23494,1.13326,1.01907,0.004324,0.004324,0.004324
174,13070.9,0.97048,2.08541,1.02933,1.00586,0.66197,0.37136,0.4174,0.31843,0.63754,0.35154,0.39043,0.26443,0.97434,2.2326,1.13425,1.02034,0.004291,0.004291,0.004291
175,13145.5,0.96124,2.08705,1.02914,1.00458,0.65182,0.36885,0.41352,0.31509,0.64472,0.34518,0.38658,0.26107,0.97264,2.23165,1.13297,1.01975,0.004258,0.004258,0.004258
176,13220.4,0.96539,2.08055,1.02968,1.00214,0.64956,0.3662,0.4175,0.3178,0.65621,0.33771,0.38901,0.26338,0.97114,2.23122,1.13046,1.01966,0.004225,0.004225,0.004225
177,13294.8,0.9584,2.06,1.02374,1.00218,0.65977,0.37052,0.41795,0.31853,0.62998,0.35052,0.38958,0.26383,0.97013,2.23624,1.12725,1.01879,0.004192,0.004192,0.004192
178,13369.8,0.95997,2.06657,1.02097,1.00123,0.67952,0.3701,0.42152,0.3213,0.6586,0.35094,0.39353,0.26646,0.96932,2.23499,1.12257,1.01615,0.004159,0.004159,0.004159
179,13444.4,0.95798,2.05379,1.02138,1.00163,0.64424,0.38344,0.42316,0.32213,0.61461,0.36571,0.39745,0.26809,0.96944,2.23416,1.1237,1.01708,0.004126,0.004126,0.004126
180,13518.8,0.94791,2.02917,1.01824,0.99883,0.68646,0.3717,0.4235,0.32176,0.65539,0.35428,0.39472,0.2672,0.968,2.23906,1.12381,1.01683,0.004093,0.004093,0.004093
181,13593.6,0.95708,2.05761,1.01714,0.99995,0.65325,0.37948,0.42346,0.32082,0.64365,0.35697,0.39545,0.26792,0.96863,2.23597,1.12152,1.01704,0.00406,0.00406,0.00406
182,13668.1,0.96053,2.07719,1.02522,1.00109,0.68049,0.37521,0.42625,0.32424,0.65499,0.35588,0.39875,0.27071,0.96705,2.23383,1.1177,1.01588,0.004027,0.004027,0.004027
183,13742.7,0.95712,2.06496,1.01156,0.99984,0.67391,0.37177,0.42353,0.32362,0.64897,0.351,0.39594,0.26891,0.96604,2.23487,1.11814,1.0158,0.003994,0.003994,0.003994
184,13817.6,0.95971,2.05819,1.02018,0.9996,0.68162,0.36707,0.4218,0.32394,0.65847,0.34774,0.39523,0.2687,0.96651,2.23361,1.11756,1.01574,0.003961,0.003961,0.003961
185,13892,0.94988,2.05255,1.01405,0.998,0.66742,0.37025,0.42161,0.32038,0.6463,0.34847,0.39409,0.26619,0.96617,2.2271,1.11694,1.01544,0.003928,0.003928,0.003928
186,13966.1,0.94622,2.04585,1.00703,0.9956,0.66552,0.37422,0.42061,0.32151,0.64106,0.3532,0.39481,0.26649,0.96633,2.22614,1.117,1.01572,0.003895,0.003895,0.003895
187,14040.1,0.94624,2.03419,1.00681,0.9978,0.66148,0.36958,0.42159,0.32004,0.63303,0.34959,0.39296,0.26511,0.96734,2.22738,1.12179,1.01579,0.003862,0.003862,0.003862
188,14114.2,0.94636,2.032,1.00055,0.99469,0.69558,0.36245,0.42337,0.32109,0.67174,0.3405,0.39451,0.26552,0.96792,2.22737,1.11942,1.01466,0.003829,0.003829,0.003829
189,14189.2,0.95538,2.06143,1.00995,0.99804,0.6767,0.36832,0.42231,0.3213,0.64502,0.3496,0.39463,0.26665,0.96723,2.22616,1.11915,1.01406,0.003796,0.003796,0.003796
190,14264.2,0.95137,2.03802,1.0013,0.99872,0.6296,0.37744,0.42021,0.31932,0.68566,0.33605,0.39273,0.26449,0.9701,2.23086,1.11823,1.01576,0.003763,0.003763,0.003763
191,14338.7,0.94642,2.04002,1.00748,0.99625,0.69842,0.36248,0.4235,0.32138,0.67823,0.34254,0.39549,0.26687,0.96633,2.22995,1.11138,1.01498,0.00373,0.00373,0.00373
192,14413.5,0.95621,2.06062,1.00111,0.99743,0.68893,0.36279,0.42439,0.32254,0.69178,0.33814,0.39562,0.26761,0.96548,2.22711,1.10926,1.01422,0.003697,0.003697,0.003697
193,14487.7,0.95456,2.05053,1.0068,0.9971,0.69915,0.36323,0.42507,0.32149,0.68808,0.34086,0.39635,0.26724,0.96641,2.22738,1.11085,1.01457,0.003664,0.003664,0.003664
194,14562.5,0.95369,2.04721,1.00245,0.99899,0.64965,0.37695,0.42533,0.32447,0.6605,0.34998,0.39802,0.26909,0.96728,2.22405,1.11199,1.01405,0.003631,0.003631,0.003631
195,14636.7,0.93916,2.02566,0.98849,0.99311,0.65809,0.37313,0.42509,0.32306,0.66917,0.34407,0.39784,0.2674,0.96656,2.22496,1.11284,1.01418,0.003598,0.003598,0.003598
196,14713.6,0.95309,2.04548,0.99397,0.99654,0.65936,0.37818,0.42555,0.32534,0.62824,0.35983,0.39834,0.26908,0.96734,2.22682,1.11386,1.01497,0.003565,0.003565,0.003565
197,14788.3,0.94506,2.0256,0.99058,0.99588,0.67252,0.37903,0.42646,0.3262,0.64409,0.36045,0.39973,0.27121,0.96647,2.22375,1.11403,1.01363,0.003532,0.003532,0.003532
198,14862.5,0.94466,2.03524,0.99353,0.99438,0.69233,0.36985,0.42611,0.3263,0.66853,0.35209,0.40074,0.27125,0.96602,2.22404,1.11303,1.01293,0.003499,0.003499,0.003499
199,14937,0.94334,2.02875,0.9885,0.99397,0.68928,0.36817,0.42535,0.3252,0.66398,0.34517,0.39665,0.26958,0.96477,2.22702,1.11277,1.0121,0.003466,0.003466,0.003466
200,15011.3,0.94335,2.03022,0.98584,0.99353,0.64261,0.38186,0.4265,0.32492,0.69623,0.3372,0.39849,0.26951,0.96585,2.22691,1.11304,1.01254,0.003433,0.003433,0.003433
201,15085.9,0.94344,2.03158,0.98853,0.99498,0.64501,0.37855,0.42646,0.32533,0.69915,0.33489,0.3982,0.26881,0.96448,2.22693,1.11301,1.01188,0.0034,0.0034,0.0034
202,15160.6,0.94294,2.02653,0.98945,0.9914,0.66774,0.37362,0.42667,0.32553,0.70295,0.33947,0.39957,0.27069,0.96376,2.22466,1.11123,1.01196,0.003367,0.003367,0.003367
203,15235.7,0.9435,2.04267,0.98627,0.99605,0.63559,0.38252,0.42724,0.32556,0.64671,0.34907,0.39837,0.26952,0.96361,2.22073,1.11123,1.01239,0.003334,0.003334,0.003334
204,15310.5,0.94469,2.0316,0.98411,0.99473,0.6611,0.38033,0.42442,0.32516,0.65754,0.35349,0.39786,0.26961,0.96476,2.22154,1.11081,1.01296,0.003301,0.003301,0.003301
205,15385.6,0.94622,2.03774,0.98063,0.99393,0.6543,0.3806,0.42342,0.32346,0.6422,0.35529,0.3975,0.26858,0.96596,2.22032,1.11126,1.01327,0.003268,0.003268,0.003268
206,15459.7,0.93497,2.01619,0.97208,0.98968,0.65197,0.38067,0.42527,0.32489,0.6339,0.35815,0.39836,0.26967,0.96496,2.21654,1.11132,1.01259,0.003235,0.003235,0.003235
207,15534.1,0.93895,2.02873,0.98354,0.99151,0.67683,0.37272,0.42289,0.32371,0.66361,0.34906,0.39564,0.26845,0.96503,2.21699,1.11133,1.01341,0.003202,0.003202,0.003202
208,15609.3,0.94497,2.04264,0.98399,0.99281,0.69062,0.36512,0.42478,0.32482,0.67283,0.34503,0.39604,0.26877,0.96402,2.217,1.11035,1.01359,0.003169,0.003169,0.003169
209,15683.2,0.9317,2.00344,0.98286,0.99344,0.68746,0.36498,0.42304,0.32468,0.65786,0.34826,0.39597,0.26716,0.96288,2.22018,1.10984,1.01333,0.003136,0.003136,0.003136
210,15758.3,0.94163,2.02869,0.97731,0.99168,0.68168,0.3679,0.42543,0.32677,0.65789,0.35016,0.39895,0.26911,0.96342,2.21849,1.10923,1.01269,0.003103,0.003103,0.003103
211,15832.3,0.93851,2.01846,0.97446,0.99051,0.68931,0.36678,0.42654,0.3283,0.66479,0.34951,0.39944,0.27078,0.96253,2.22089,1.10829,1.01242,0.00307,0.00307,0.00307
212,15907,0.94111,2.03163,0.97773,0.99236,0.66691,0.37303,0.42755,0.32826,0.64395,0.35335,0.40097,0.27059,0.96224,2.21934,1.10674,1.01251,0.003037,0.003037,0.003037
213,15981.7,0.93612,2.01754,0.97211,0.99198,0.6427,0.37879,0.42708,0.3259,0.65783,0.34863,0.39842,0.26802,0.96254,2.22017,1.10724,1.01265,0.003004,0.003004,0.003004
214,16055.9,0.93374,2.01568,0.97117,0.99113,0.62864,0.38445,0.42506,0.32578,0.65587,0.34755,0.3977,0.26794,0.9624,2.22013,1.10844,1.01231,0.002971,0.002971,0.002971
215,16129.1,0.9228,1.99247,0.9671,0.99038,0.64493,0.38133,0.42608,0.32576,0.6409,0.35284,0.39824,0.26849,0.96289,2.22345,1.10761,1.0125,0.002938,0.002938,0.002938
216,16204.2,0.93097,2.01253,0.96795,0.98976,0.64721,0.37631,0.42565,0.32604,0.63846,0.35347,0.39893,0.26785,0.96178,2.22104,1.10466,1.01199,0.002905,0.002905,0.002905
217,16278.7,0.93772,2.01639,0.96393,0.99114,0.64104,0.37973,0.42611,0.32638,0.62735,0.35603,0.3986,0.2686,0.96264,2.21834,1.10494,1.012,0.002872,0.002872,0.002872
218,16352.9,0.9294,2.00029,0.96869,0.98776,0.67481,0.37028,0.42546,0.32646,0.65437,0.35067,0.39826,0.26883,0.96328,2.2194,1.10346,1.01221,0.002839,0.002839,0.002839
219,16427.7,0.92872,2.00323,0.96111,0.99044,0.65524,0.37268,0.42458,0.32534,0.66476,0.34644,0.39789,0.26833,0.96308,2.2182,1.10273,1.01226,0.002806,0.002806,0.002806
220,16503.4,0.9309,2.00779,0.96716,0.98782,0.64646,0.37706,0.42722,0.32667,0.67296,0.34471,0.399,0.26942,0.96154,2.22053,1.10212,1.01151,0.002773,0.002773,0.002773
221,16578,0.92253,1.99618,0.95685,0.98648,0.66516,0.37089,0.42774,0.32797,0.67702,0.34269,0.39886,0.2696,0.96207,2.22164,1.10248,1.01151,0.00274,0.00274,0.00274
222,16653,0.92901,2.00495,0.95589,0.98819,0.67099,0.37052,0.42669,0.32774,0.69166,0.34004,0.39844,0.2693,0.96235,2.22028,1.10299,1.01131,0.002707,0.002707,0.002707
223,16727.4,0.92862,2.00154,0.96187,0.98803,0.72491,0.35696,0.42709,0.32735,0.70097,0.33907,0.39834,0.26965,0.96107,2.22225,1.10217,1.0105,0.002674,0.002674,0.002674
224,16801.4,0.9236,1.99311,0.95937,0.98751,0.67378,0.37094,0.42747,0.3285,0.69624,0.34126,0.3986,0.26989,0.95865,2.22205,1.10109,1.01005,0.002641,0.002641,0.002641
225,16875.9,0.9331,2.0124,0.95899,0.9881,0.6859,0.36797,0.42756,0.32804,0.65519,0.35061,0.39954,0.26966,0.95845,2.22505,1.10099,1.01056,0.002608,0.002608,0.002608
226,16950.2,0.92247,1.99495,0.95898,0.98665,0.68566,0.36859,0.42678,0.32701,0.66224,0.34933,0.39792,0.26908,0.95789,2.22602,1.0997,1.01035,0.002575,0.002575,0.002575
227,17025.2,0.92156,1.99634,0.95535,0.98603,0.69618,0.3661,0.42785,0.32751,0.69349,0.34223,0.39942,0.2693,0.95737,2.22849,1.09826,1.01042,0.002542,0.002542,0.002542
228,17099.7,0.92994,2.00801,0.96236,0.9895,0.70672,0.3633,0.42693,0.32734,0.71089,0.3394,0.39882,0.26891,0.9571,2.22792,1.09882,1.01022,0.002509,0.002509,0.002509
229,17173.8,0.91406,1.9666,0.95118,0.98488,0.70853,0.36421,0.42765,0.32842,0.68937,0.34413,0.40002,0.26971,0.95633,2.22782,1.09811,1.00926,0.002476,0.002476,0.002476
230,17248.8,0.9215,1.98744,0.95083,0.98414,0.70032,0.36767,0.42888,0.32899,0.67703,0.34931,0.40089,0.27071,0.95617,2.22773,1.09634,1.00934,0.002443,0.002443,0.002443
231,17322.7,0.91491,1.97346,0.94228,0.98368,0.7001,0.36679,0.42848,0.32855,0.68631,0.34538,0.39994,0.27027,0.95589,2.22835,1.09483,1.00905,0.00241,0.00241,0.00241
232,17398.1,0.92532,1.99904,0.94415,0.98338,0.71061,0.36303,0.42835,0.32832,0.68474,0.34548,0.39991,0.27045,0.95691,2.22723,1.09629,1.00977,0.002377,0.002377,0.002377
233,17472.4,0.91974,1.9829,0.94432,0.98335,0.71329,0.36359,0.42877,0.32918,0.69956,0.34269,0.39982,0.2708,0.95696,2.22683,1.09608,1.01004,0.002344,0.002344,0.002344
234,17547.1,0.9219,1.99169,0.94578,0.98387,0.71291,0.36615,0.42918,0.32985,0.68931,0.34766,0.40086,0.27131,0.95682,2.22707,1.09653,1.00985,0.002311,0.002311,0.002311
235,17622.1,0.92808,1.99745,0.94914,0.98474,0.67196,0.37315,0.42871,0.32828,0.63898,0.35585,0.40038,0.27036,0.95722,2.22669,1.09567,1.00965,0.002278,0.002278,0.002278
236,17697,0.9251,1.99421,0.9493,0.98558,0.67171,0.37136,0.42815,0.32796,0.64723,0.35233,0.40009,0.26996,0.95749,2.22626,1.0974,1.00976,0.002245,0.002245,0.002245
237,17771.3,0.9112,1.96654,0.93532,0.98113,0.70217,0.36393,0.42929,0.32844,0.67666,0.34498,0.40107,0.2707,0.95779,2.22513,1.09751,1.00997,0.002212,0.002212,0.002212
238,17845.5,0.91934,1.97965,0.94116,0.98418,0.69838,0.3644,0.42922,0.32854,0.67408,0.34542,0.40109,0.27057,0.95706,2.22754,1.09767,1.00937,0.002179,0.002179,0.002179
239,17920.4,0.9216,2.00102,0.94438,0.98531,0.68707,0.36924,0.42909,0.32917,0.68366,0.34474,0.40215,0.27143,0.95643,2.22587,1.09662,1.00932,0.002146,0.002146,0.002146
240,17995.3,0.91924,1.98541,0.94196,0.98387,0.68057,0.37209,0.42822,0.3294,0.67754,0.34659,0.40084,0.27099,0.95581,2.22608,1.09641,1.00897,0.002113,0.002113,0.002113
241,18069.5,0.91073,1.97114,0.93681,0.98069,0.67154,0.37449,0.42803,0.32914,0.69027,0.34278,0.40037,0.27105,0.95589,2.22634,1.09557,1.00912,0.00208,0.00208,0.00208
242,18145.6,0.91398,1.97109,0.93473,0.98088,0.67698,0.37381,0.42911,0.32904,0.71092,0.34086,0.40175,0.2714,0.95583,2.22659,1.0953,1.00876,0.002047,0.002047,0.002047
243,18220.4,0.91199,1.96641,0.93005,0.98049,0.73452,0.35807,0.42823,0.32848,0.71258,0.34076,0.40134,0.27056,0.95544,2.2268,1.09554,1.00887,0.002014,0.002014,0.002014
244,18295.6,0.91377,1.97471,0.93216,0.98112,0.72625,0.36052,0.42811,0.32863,0.70108,0.34225,0.40026,0.27016,0.95477,2.22794,1.09457,1.00857,0.001981,0.001981,0.001981
245,18370.3,0.9164,1.97718,0.93025,0.98125,0.71371,0.36358,0.42773,0.32801,0.70164,0.34481,0.40013,0.27092,0.955,2.22842,1.09462,1.00923,0.001948,0.001948,0.001948
246,18444.8,0.90694,1.96125,0.92686,0.97948,0.70261,0.36557,0.42742,0.32812,0.6986,0.34469,0.40019,0.27128,0.95472,2.22781,1.09461,1.0089,0.001915,0.001915,0.001915
247,18519,0.91317,1.97175,0.92983,0.98158,0.70157,0.36611,0.42735,0.32774,0.70799,0.34289,0.40079,0.27102,0.95491,2.22821,1.0942,1.00921,0.001882,0.001882,0.001882
248,18594,0.91531,1.97249,0.92886,0.9801,0.6959,0.36868,0.42753,0.32787,0.662,0.35213,0.40165,0.27117,0.95513,2.22667,1.09422,1.0095,0.001849,0.001849,0.001849
249,18668.5,0.91389,1.97468,0.93859,0.98248,0.68785,0.37146,0.42805,0.32824,0.66946,0.3498,0.40044,0.27106,0.95529,2.22566,1.09426,1.00937,0.001816,0.001816,0.001816
250,18742.8,0.90562,1.96153,0.92366,0.97841,0.68829,0.37129,0.42787,0.32824,0.68235,0.34483,0.40063,0.27146,0.95522,2.22481,1.09355,1.00926,0.001783,0.001783,0.001783
251,18817.6,0.91001,1.96014,0.92721,0.97989,0.69662,0.36781,0.42848,0.32864,0.69577,0.34355,0.40161,0.2729,0.95533,2.22592,1.09366,1.00948,0.00175,0.00175,0.00175
252,18892,0.90668,1.96121,0.92328,0.97874,0.71758,0.36275,0.42808,0.3279,0.70402,0.34249,0.4017,0.27279,0.95552,2.22506,1.09286,1.00966,0.001717,0.001717,0.001717
253,18966.9,0.91223,1.965,0.92757,0.97941,0.71734,0.36339,0.42892,0.32869,0.7052,0.34213,0.40237,0.27275,0.95513,2.22609,1.09263,1.00955,0.001684,0.001684,0.001684
254,19041.8,0.90856,1.95795,0.92214,0.97805,0.72169,0.3619,0.42854,0.32838,0.70802,0.34084,0.40228,0.27269,0.95513,2.22469,1.09247,1.00971,0.001651,0.001651,0.001651
255,19116,0.89683,1.94167,0.91906,0.97702,0.71944,0.36403,0.42846,0.3282,0.69905,0.34383,0.40262,0.27213,0.95483,2.22494,1.09149,1.0095,0.001618,0.001618,0.001618
256,19191,0.91615,1.98243,0.92555,0.9828,0.71677,0.36413,0.42898,0.32836,0.70286,0.34143,0.40123,0.27233,0.95464,2.22488,1.09093,1.00933,0.001585,0.001585,0.001585
257,19265.9,0.91694,1.98291,0.92117,0.97987,0.71799,0.36426,0.42939,0.32833,0.70905,0.34082,0.40152,0.27218,0.95478,2.22416,1.09071,1.00904,0.001552,0.001552,0.001552
258,19340.8,0.90757,1.96034,0.91768,0.97992,0.72319,0.36246,0.42956,0.32865,0.70433,0.34172,0.40171,0.2724,0.9551,2.22384,1.09002,1.00909,0.001519,0.001519,0.001519
259,19415.7,0.90222,1.95872,0.9123,0.97546,0.72137,0.36272,0.42929,0.32925,0.70728,0.34068,0.40177,0.27209,0.9551,2.22394,1.08928,1.00916,0.001486,0.001486,0.001486
