epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,2251.61,1.15033,2.47161,1.59106,1.10691,0.48922,0.30883,0.32178,0.23977,0.47184,0.28254,0.29186,0.19307,1.12503,2.53245,1.5504,1.10049,0.009043,0.009043,0.009043
31,2327.48,1.15526,2.49201,1.59173,1.10749,0.49378,0.31368,0.32158,0.23643,0.47386,0.29375,0.30171,0.19713,1.12731,2.50814,1.52739,1.09292,0.00901,0.00901,0.00901
32,2405.13,1.15603,2.47731,1.57927,1.10546,0.54591,0.2946,0.32046,0.23358,0.5362,0.27197,0.29797,0.1956,1.12336,2.53741,1.50832,1.09836,0.008977,0.008977,0.008977
33,2480.4,1.15968,2.48675,1.56486,1.10295,0.52016,0.30898,0.32443,0.23916,0.51293,0.28805,0.30225,0.20029,1.1237,2.50263,1.51416,1.09328,0.008944,0.008944,0.008944
34,2556.1,1.14385,2.45,1.5494,1.1015,0.49885,0.31547,0.32963,0.24515,0.50073,0.29232,0.30534,0.20234,1.11096,2.53141,1.5387,1.09389,0.008911,0.008911,0.008911
35,2631.39,1.14669,2.47145,1.53964,1.09775,0.50947,0.32286,0.33561,0.24737,0.49596,0.30233,0.31168,0.20711,1.11055,2.49763,1.49545,1.09515,0.008878,0.008878,0.008878
36,2709.1,1.14279,2.45026,1.53036,1.098,0.50766,0.3218,0.33068,0.24211,0.4868,0.30566,0.30768,0.20376,1.11506,2.50762,1.50849,1.09509,0.008845,0.008845,0.008845
37,2784.62,1.14625,2.44431,1.52479,1.09962,0.55587,0.31243,0.34667,0.25201,0.5253,0.29093,0.31634,0.20546,1.11688,2.49322,1.49473,1.09143,0.008812,0.008812,0.008812
38,2859.99,1.12903,2.43661,1.51466,1.09465,0.53183,0.32515,0.34701,0.25501,0.51098,0.31017,0.32302,0.2125,1.09568,2.46665,1.44134,1.08549,0.008779,0.008779,0.008779
39,2937.74,1.12459,2.4202,1.50534,1.09293,0.57858,0.31176,0.34147,0.24946,0.5493,0.28634,0.30969,0.20425,1.10757,2.48063,1.45496,1.08777,0.008746,0.008746,0.008746
40,3012.03,1.12435,2.407,1.49554,1.08894,0.59504,0.30901,0.34047,0.25301,0.56433,0.29205,0.31412,0.21392,1.11098,2.50122,1.48751,1.08942,0.008713,0.008713,0.008713
41,3086.32,1.12642,2.41116,1.4845,1.09106,0.56179,0.32825,0.35482,0.25936,0.54054,0.30575,0.32488,0.21557,1.10851,2.48344,1.44872,1.09071,0.00868,0.00868,0.00868
